,question,result
746,현재 시마바라성은 어떤 형태로 존재하고 있는가?,"1. 시마바라성 현재 모습은 어떤 형태인가?
2. 시마바라성 형태 변화를 설명하시오."
831,"《아폴로 13》은 어떤 년도에 개봉했으며, 주인공의 이름은 무엇인가?","1. 《아폴로 13》 개봉 년도는 언제인가?
2. 《아폴로 13》 주인공 이름은 무엇인가?"
920,"아카데미 수상식에서 성우인 매리 케이 버그먼이 부를 예정이었던 노래는 어떤 노래였으며, 그녀는 왜 자살했나?","1. 아카데미 수상식에서 성우인 매리 케이 버그먼이 부를 예정이었던 노래는 무엇인가?
2. 메리 케이 버그먼이 자살한 이유는 무엇인가?"
642,담배의 종류와 주요 상업용 작물은 무엇인가?,"1. 담배의 종류는 무엇이 있는가?
2. 담배 상업용 작물의 재배 방법은 무엇인가?"
547,"무주반딧불축제에서 운영되는 프로그램 중에는 반디별 소풍이 있는데, 이 프로그램은 어떤 내용을 담고 있는가?","1. 무주반딧불축제 반디별 소풍 프로그램은 어떤 내용을 담고 있는가?
2. 무주반딧불축제 반디별 소풍 활동은 무엇으로 이루어져 있는가?"
1133,"룽산 문화의 특징 중 하나인 흑도 도기 기술은 무엇이며, 그릇의 특징은 무엇인가?","1. 룽산 문화의 특징 중 하나인 흑도 도기 기술은 무엇인가?
2. 룽산 문화의 특징 중 하나인 흑도 도기 그릇의 특징은 무엇인가?"
159,"보이제 금제 음반에 담긴 그림과 음악은 어디서 볼 수 있으며, 현재 상태는 어떠한가?","1. 보이저 금제 음반에 담긴 그림과 음악은 어디서 볼 수 있나?
2. 보이저 금제 음반에 담긴 그림과 음악의 현재 상태는 어떤가?"
271,"브라운슈바이크 공국의 수도는 어디이며, 현재 지역은 어디에 속하고 있는가?","1. 브라운슈바이크 공국의 수도 어디입니까?
2. 브라운슈바이크 공국의 수도가 현재 속해 있는 지역은 어디입니까?"
1064,"유다 복음서에서 유다는 어떻게 묘사되고 있으며, 예수와의 관계는 어떠한가?","1. 유다가 유다 복음서에서 어떻게 묘사되었는가?
2. 유다 복음서에서 유다와 예수와의 관계는 어떠한가?"
907,"서울예술대학교의 본부가 이전한 곳은 어디이며, 그 이유는 무엇인가요?","1. 서울예술대학교의 본부 이전 장소는 어디에 있었나요?
2. 서울예술대학교의 본부가 이전한 이유는 무엇인가요?"
382,"펩시 블루는 언제 만들어졌으며, 그 아이디어는 누구에게서 왔을까요?","1. 펩시 블루는 언제 만들어졌나요?
2. 펩시 블루의 아이디어는 누구에게서 왔을까요?"
579,야마시타 가즈미가 대표작으로 발표한 작품은 무엇인가?,"1. 야마시타 가즈미 대표작은 무엇인가?
2. 야마시타 가즈미 작품 목록은 나열하시오"
1084,"야마구치 다쓰야의 학창 시절 학교 이름은 무엇이며, 그는 대식가인지 아닌지 알려주세요.","1. 야마구치 다쓰야의 학창 시절 학교 이름은 무엇인가?
2. 야마구치 다쓰야 대식가 였는가?"
477,"유정은 어떤 성을 지었으며, 그 성은 어디에 위치했는가?","1. 유정은 어떤 성을 지었는가?
2. 유정은 지은 성은 어디에 위치했는가?"
762,승강장과 열차 사이에 단차가 있는 이유는 무엇인가?,"1. 승강장과 열차 사이에 단차가 발생하는 이유는 무엇인가?
2. 승강장과 열차 사이에 간격이 발생하는 이유에 대해 설명해 주세요."
1244,카나크는 어디에 위치하고 있으며 인구는 얼마인가?,"1. 카나크 위치는 어디인가?
2. 카나크 인구는 얼마인가?"
587,해파리의 번식을 부추기는 요인은 무엇인가?,"1. 해파리 번식 촉진 요인은 무엇이 있는가?
2. 해파리 번식 환경 요인은 무엇이 있는가?"
610,"호세이 대학의 이념은 무엇이며, 학교 전통에 어떤 지침이 포함되어 있나?","1. 호세이 대학의 이념은 무엇인가요?
2. 호세이 대학의 학교 전통에는 어떤 지침이 포함되어 있나요?"
637,"《춘추》의 이름은 무엇이며, 그 의미는 무엇인가?","1. 춘추의 이름은 무엇인가?
2. 춘추의 의미는 무엇인가?"
245,"김부식의 증조부는 누구이며, 그의 역할은 무엇인가?","1. 김부식의 증조부는 누구인가?
2. 김부식 증조부의 역할은 무엇이었는가?"
590,북조선인민위원회가 폐지된 후에 어떤 일이 일어났나?,"1. 북조선인민위원회 폐지 후 북한 정치적 변화에 대해 설명하시오
2. 북조선인민위원회 폐지 이후 북한 사회적 영향력 변화에 대해서 설명하시오"
297,"세인트존스는 언제 영국의 식민지가 되었고, 앤티가 바부다의 독립 이후 어떤 역할을 하게 되었나요?","1. 세인트존스는 언제 영국의 식민지가 되었나요?
2. 세인트존스는 앤티가 바부다의 독립 이후 어떤 역할을 하게 되었나요?"
267,"드레퓌스 대위는 어떻게 체포되었으며, 그 후의 과정은 무엇이었나?","1. 드레퓌스 대위는 어떻게 체포되었는가?
2. 드레퓌스 대위 체포 후 어떤 과정이 있었나?"
740,"모디스트 마우스가 발매한 첫 번째 정규 음반은 무엇이며, 그 음반의 프로듀싱과 녹음을 맡은 사람은 누구인가?","1. 모디스트 마우스 첫 정규 음반은 무엇인가?
2. 모디스트 마우스 첫 정규 음반 프로듀서 및 녹음 담당자는 누구인가?"
816,"릿이 오프스프링, 가비지, 노 다웃 등과 함께 공연을 한 적이 있는가?","1. 릿이 오프스프링과 함께 공연한 적이 있는가?
2. 릿이 가비지와 함께 공연한 적이 있는가?"
626,"어린이란 무엇이며, 대한민국에서는 어린이의 권익 향상을 위해 어떤 법률을 제정했는가?","1. 어린이란 무엇인가?
2. 대한민국에서 어린이의 권익 향상을 위해 제정된 법률은 무엇인가?"
357,"덕종의 생애와 재위 기간은 언제부터 언제까지였으며, 그의 휘와 자는 무엇인가?","1. 덕종의 생애와 재위 기간은 언제부터 언제까지였나요?
2. 덕종의 휘와 자는 무엇인가?"
498,"교황 비오 3세는 언제 태어났으며, 그의 어머니는 누구인가?","1. 교황 비오 3세는 언제 태어났나요?
2. 교황 비오 3세의 어머니는 누구인가?"
259,"헌법위원회의 구성과 심사절차는 어떻게 되었으며, 그 특징은 무엇인가?","1. 헌법위원회 구성 및 심사절차는 어떻게 되었는가?
2. 헌법위원회의 특징은 무엇인가?"
339,"옥스퍼드셔 주의 역사적인 중요성은 무엇이며, 고대 로마인들은 이 지역에 대해 어떻게 생각했는가?","1. 옥스퍼드셔 주의 역사적인 중요성은 무엇인가요?
2. 고대 로마인들의 옥스퍼드셔 주에 대해 어떻게 생각했는가?"
24,"제네럴 리인슈어런스의 역사에서 설립 날짜는 언제이고, 주요 발전 사건은 무엇인가?","1. 제네럴 리인슈어런스 설립 날짜는 언제인가?
2. 제네럴 리인슈어런스의 주요 발전 사건은 어떤 것이 있는가?"
109,"미시시피 강의 이름의 어원은 무엇이고, 미국에서는 몇 번째로 긴 강인가?","1. 미시시피 강의 이름의 어원은 무엇인가?
2. 미시시피 강은 미국에서 몇 번째로 긴 강인가?"
287,"몬테네그로의 헌법상 수도는 무엇이며, 그 의미는 무엇인가?","1. 몬테네그로 헌법상 수도는 어디인가요?
2. 몬테네그로 헌법상 수도의 의미는 무엇인가요?"
1074,이진호의 출생일과 사망일은 언제인가?,"1. 이진호 출생일은 언제인가?
2. 이진호 사망일은 언제인가?"
65,"김종현은 고려 시대에 어떤 중요한 직책을 맡았으며, 그에 대한 업적은 무엇인가?","1. 김종현 고려 시대 직책은 무엇인가?
2. 김종현 고려 시대 업적은 무엇인가?"
685,"축구공의 규격에 대해 설명해 주시고, 현재 세계에서 생산되는 손바느질로 만들어진 축구공의 제조 국가를 알려주세요.","1. 축구공의 규격은 무엇입니까?
2. 손바느질로 만들어진 축구공을 생산하는 국가는 어디입니까?"
450,"RNA의 역할은 무엇이며, DNA와 어떻게 다른가?","1. RNA의 역할은 무엇인가?
2. RNA와 DNA는 어떻게 다른가?"
1233,"리게티의 작품 중 많이 알려진 것은 언제부터 시작되었으며, 어떤 작품들이 잘 알려져 있는가?","1. 리게티의 작품 중 많이 알려진 것은 언제부터 시작되었는가?
2. 리게티의 어떤 작품들이 잘 알려져 있는가?"
262,"와이움이란 무엇이며, 현재 전 세계적으로 얼마나 많은 지부와 전임사역자가 있는지 알려주세요.","1. 와이움이란 무엇인가?
2. 전 세계적으로 와이움의 지부와 전임사역자 수는 얼마나 되는가?"
660,"표준 점수란 무엇이며, 어디서부터 시작되었는지 알려주세요?","1. 표준 점수 정의는 무엇인가?
2. 표준 점수의 기원과 발전에 대해 알려주세요"
598,인도 해군이 러시아의 항공모함을 구입한 금액과 그 이름은 무엇인가?,"1. 인도 해군이 러시아의 항공모함을 구입한 금액은 얼마인가?
2. 인도 해군이 러시아의 항공모함의 이름은 무엇인가?"
1073,"앤토니오 B. 원 팻 국제공항은 어디에 위치하고 있으며, 이름의 유래는 무엇인가?","1. 앤토니오 B. 원 팻 국제공항의 위치는 어디인가?
2. 앤토니오 B. 원 팻 국제공항의 이름 유래는 무엇인가?"
288,"요코스카 시의 위치는 어디이고, 요코스카 시의 역사에서 가장 중요한 사건은 무엇인가?","1. 요코스카 시의 위치는 어디인가요?
2. 요코스카 시의 역사에서 가장 중요한 사건은 무엇인가?"
985,마쓰야마 시의 경제는 어떤지 알려주세요. 대표되는 농업과 관광 산업에 대해 설명해 주세요.,"1. 마쓰야마 시의 경제는 어떤지 알려주세요.
2. 마쓰야마 시의 대표 농업은 무엇인가요?
3. 마쓰야마 시의 대표 관광 산업은 무엇인가요?"
48,엘패소의 위치와 인구는 무엇인가?,"1. 엘패소의 위치는 어디인가?
2. 엘패소의 인구 통계는 어떻게 되는가?"
558,파나요트 파노가 뛰었던 팀과 그들의 수상 경력은 무엇인가?,"1. 파나요트 파노가 뛰었던 팀은 무엇이며, 그들의 수상 경력은 무엇인가?
2. 파나요트 파노가 속한 팀의 수상 경력과 성적은 어떻게 되는가?"
453,위상 혼합성의 조건과 예시는 무엇인가?,"1. 위상 혼합성의 조건은 무엇인가?
2. 위상 혼합성의 예시는 어떤 것이 있는가?"
243,"김부식이 어떤 시호를 받았으며, 그 이유는 무엇인가?","1. 김부식은 어떤 시호를 받았는가?
2. 김부식이 시호를 받은 이유는 무엇인가?"
800,"1,2-다이클로로에테인은 화학물질의 하나로 무엇이라고 하며, 다른 이름은 무엇인가?","1. 1,2-다이클로로에테인의 화학적 특성은 무엇인가?
2. 1,2-다이클로로에테인의 다른 명칭은 무엇인가?"
167,"걸프 전쟁은 언제부터 언제까지 일어났으며, 그 원인은 무엇인가?","1. 걸프 전쟁이 언제부터 언제까지 얼어났나?
2. 걸프 전쟁의 원인은 무엇인가?"
1192,"반응 중간체란 무엇이며, 그 특징은 무엇인가?","1. 반응 중간체란 무엇인가?
2. 반응 중간체의 특징은 무엇인가?"
1012,"안창남의 모국방문 비행에 참석한 사람들의 수는 얼마나 많았으며, 그 중 학생의 수는 얼마인가?","1. 안창남의 모국방문 비행에 참석한 사람들의 수는 얼마인가?
2. 안창남의 모국방문 비행에 참석한 사람들 중 학생의 수는 얼마인가?"
769,"시니어 콤플렉스 유치 선언한 지역은 어디이며, 첫 입주가 언제에 실현될 예정인가요?","1. 시니어 콤플렉스 유치 선언한 지역은 어디인가?
2. 시니어 콤플렉스 첫 입주 예정일은 언제인가?"
131,"영화 《말아톤》의 줄거리는 무엇이며, 주인공 윤초원의 지능 수준은 몇 살 수준인가?","1. 영화 말아톤의 줄거리는 무엇인가?
2. 말아톤 주인공의 지능 수준은 몇살인가?"
512,"주오 대학의 기원은 언제부터 시작되었고, 어떤 형태로 시작했는가?","1. 주오 대학의 기원은 언제부터 시작되었나요?
2. 주오 대학은 어떤 형태로 시작되었나요?"
1156,"영화 《게이샤의 추억》은 미국 아카데미상에서 몇 개 부분에 후보 지명되었고, 수상한 부분은 무엇이었나?","1. 영화 《게이샤의 추억》은 미국 아카데미상에서 몇 개 부분에 후보로 지명되었는가?
2. 영화 《게이샤의 추억》은 미국 아카데미상에서 수상한 부분은 무엇이었나요?"
1030,마운트 홀리오크 칼리지의 개교 연도와 교명은 무엇인가?,"1. 마운트 홀리오크 칼리지의 개교 연도는 언제인가?
2. 마운트 홀리오크 칼리지의 교명은 무엇인가?"
515,"과학철학은 무엇이며, 그 목표는 무엇인가?","1. 과학철학의 정의는 무엇인가요?
2. 과학철학이 추구하는 목표와 중요성은 무엇인가?"
1215,"학교법인 경북학원이 인수된 년도는 언제이며, 그 이후의 총장과 이사장은 누구였나?","1. 학교법인 경북학원이 인수된 년도는 언제인가?
2. 학교법인 경북학원이 인수된 이후 총장과 이사장은 누구였나?"
1226,"20세기 초 시베리아 철도가 개통되기 이전에 오비강은 어떤 역할을 했으며, 그때의 항해 가능한 강 길이는 얼마인가?","1. 20세기 초 시베리아 철도가 개통되기 이전에 오비강이 수행한 역할은 무엇이었나?
2. 20세기 초 시베리아 철도가 개통되기 이전에 오비강을 통해 항해할 수 있는 길이는 얼마였는가?"
1121,"《시녀 이야기》에서 상징색이 빨강인 것은 무엇이고, 초록(소설에서는 파랑)으로 나타나는 것은 무엇인가?","1. 《시녀 이야기》에서 상징색이 빨강인 것은 무엇인가?
2. 《시녀 이야기》에서 초록(소설에서는 파랑)으로 나타나는 것은 무엇인가?"
841,"팀 파워스는 어떤 학교에서 공부했으며, 그의 친구 인 블레이록과 지터는 어디서 만났나요?","1. 팀 파워스가 공부한 학교는 어디인가요?
2. 팀 파워스와 친구 블레이록과 지터는 어디서 만났나요?"
176,"흉노와 중국의 왕조 사이에는 어떤 관계가 있었으며, 그 중에서 가장 중요한 사건은 무엇인가?","1. 흉노와 중국의 왕조 사이에 어떤 관계가 있었나?
2. 흉노와 중국 왕조 사이에 가장 중요한 사건은 무엇인가?"
17,"권아솔의 경력에서 가장 중요한 순간은 언제였고, 그에 대한 결과는 무엇이었는가?","1. 권아솔의 경력에서 가장 중요한 순간은 언제였나요?
2. 권아솔의 경력에서 중요한 순간들의 결과는 무엇이었나요?"
239,"법인은 무엇이며, 자연인과 어떤 차이가 있는가?","1. 법인이란 무엇인가?
2. 법인과 자연인의 차이점은 무엇인가?"
1208,"제17기갑사단은 언제 창설되었으며, 그 원인은 무엇인가?","1. 제17기갑사단 언제 창설되었가?
2. 제17기갑사단 창설 원인은 무엇인가?"
270,브라운슈바이크 공국의 국가승계와 이후의 독일 제국의 변화는 어떻게 되었나?,"1. 브라운슈바이크 공국의 국가승계는 어떻게 이루어졌나?
2. 브라운슈바이크 공국의 국가승계 이후 독일 제국의 변화는 어떻게 되었나?"
899,"핵 연쇄 반응이란 무엇이며, 이 과정을 통해 어떤 현상이 발생하는가?","1. 핵 연쇄 반응이란 무엇인가?
2. 핵 연쇄 반응으로 인해 어떤 현상이 발생하는가?"
419,"남포항과 인근 관광 시설, 산업 시설 등이 무엇인지 알려주세요.","1. 남포항 인근 관광 시설은 무엇이 있나요?
2. 남포항 인근 산업 시설은 무엇이 있나요?"
126,콜럼버스가 탐험에 나선 이유와 그 과정은 무엇인가?,"1. 콜럼버스가 탐험에 나선 이유는 무엇이었나?
2. 콜럼버스의 탐험에 나선 과정은 어떠했나?"
1245,"카나크 마을은 어떻게 조성되었으며, 현재의 시설은 무엇이 있는가?","1. 카나크 마을은 어떻게 조성되었는가?
2. 카나크 마을의 현재의 시설은 무엇이 있는가?"
903,"HTML의 meta 태그를 이용한 대안은 무엇이며, 어떻게 사용할 수 있는가?","1. HTML meta 태그를 대체할 수 있는 다른 방법은 무엇이 있나요?
2. 대체할 수 있는 HTML meta 태그 사용 방법은 무엇인가?"
946,"명예 혼인보의 이름은 어떤 사람에게 수여되고, 조치훈은 어떻게 된가요?","1. 명예 혼인보의 이름을 수여하는 기준은 무엇인가?
2. 조치훈이 명예 혼인보가 된 이유는 무엇인가?"
421,남포시의 역사와 명칭 유래에 대해 설명해주세요.,"1. 남포시의 역사는 어떤가요?
2. 남포시의 명칭 유래는 어떻게 되었나요?"
163,"오픈오피스의 라이선스는 무엇이고, 공식 웹사이트는 언제 열렸나?","1. 오픈오피스의 라이선스는 무엇인가?
2. 오픈오피스의 공식 웹사이트는 언제 열렸나?"
496,"런 렝스 부호화(RLE)가 효과적인 데이터 압축을 위해 어떤 조건이 필요하고, 그에 대한 예시를 들어보자.","1. 런 렝스 부호화(RLE)가 효과적인 데이터 압축을 위해 어떤 조건이 필요안가요?
2. 런 렝스 부호화(RLE)가 효과적인 데이터 압축을 위해 필요한 조건의 예시는 무엇인가요?"
830,"그는 어느 계파에 속했으며, 그의 정치적 성향은 무엇인가?","1. 그는 어느 계파에 속했는가?
2. 그의 정치적 성향은 무엇인가?"
307,"백일홍의 꽃말은 무엇이고, 이름의 유래는 무엇인가?","1. 백일홍의 꽃말은 무엇인가요?
2. 백일홍 이름의 유래는 무엇인가요?"
408,"십계명을 소개하는 출애굽기/탈출기 20장 1절과 신명기 5장 5절의 차이점은 무엇이며, 히브리 사본과 다른 번역서에 어떻게 나타나는지 설명해 주세요.","1. 십계명을 소개하는 출애굽기/탈출기 20장 1절과 신명기 5장 5절의 차이점은 무엇인가요?
2. 십계명은 히브리 사본과 다른 번역서에 어떻게 나타나나요?"
658,"아까시나무가 한국에 처음 도입된 시기는 언제였으며, 어떤 사람의 추천으로 심었는가?","1. 아까시나무를 한국에 도입한 시기는 언제인가?
2. 아까시나무를 한국에 추천한 사람은 누구인가?"
187,"마카오가 번영한 시기는 언제이며, 그 동안에 어떤 산업이 발달했는가?","1. 마카오가 번영한 시기는 언제인가?
2. 마카오가 번영한 시기에 어떤 산업이 발달했는가?"
694,"주 에티오피아 열곡대의 특징은 무엇이며, 이 지역에서 화산 활동이 언제 발생했나요?","1. 주 에티오피아 열곡대의 특징은 무엇인가요?
2. 에티오피아 열곡대에서의 화산 활동 발생 시기는 언제인가요?"
355,이항녕의 출생일과 사망일은 언제인가?,"1. 이항녕 출생일은 언제인가?
2. 이항녕 사망일은 언제인가?"
1149,"2015년 한국의 성씨 목록에서 총 몇 개의 성씨가 조사되었으며, 본관별 성씨는 얼마나 많은지 알려주세요.","1. 2015년 한국 성씨 조사에서 셩씨는 몇 개인가요?
2. 2015년 한국 성씨 조사에서 본관별 성씨 수는 얼마나 되나요?"
1218,"아일랜드 의회에서 조약 비준에 대한 문제가 발생한 원인은 무엇이며, 그로 인해 어떤 결과가 일어났나?","1. 아일랜드 의회에서 조약 비준에 대한 문제가 발생한 원인은 무엇인가?
2. 아일랜드 의회에서 조약 비준에 대한 문제로 인한 결과는 무엇인가?"
624,삼발의 특징 중에서 매운맛이 나는 이유는 무엇인가요?,"1. 삼발의 매운맛이 나는 이유에 대한 화학적 원리는 무엇인가요?
2. 삼발의 특징 중 매운맛이 나는 이유를 설명하는 연구나 논문은 무엇이 있나요?"
1132,"룽산 문화는 어떤 지역에 퍼졌으며, 다른 문화와 어떻게 관련이 있는가?","1. 룽산 문화는 어떤 지역으로 퍼져 있나요?
2. 룽산 문화와 다른 문화들은 어떤 관련이 있는가?"
220,"이바라키현에 있는 도시는 몇 개이고, 그 중에서 가장 인구가 많은 도시를 알려주세요.","1. 이바라키현에 있는 도시 수는 몇개인가?
2. 이바라키현에 있는 도시 중 가장 인구가 많은 도시는 무엇인가요?"
820,"유고슬라비안이라는 개념은 무엇이며, 유고슬라비아의 해체 이후 어떤 변화가 있었는가?","1. 유고슬라비안 개념은 무엇인가?
2. 유고슬라비아 해체 후 변화들에 대해 설명해 주세요."
578,야마시타 가즈미의 출생일과 출신지는 무엇인가?,"1. 야마시타 가즈미 출생일은 언제인가?
2. 야마시타 가즈미 출신지는 어디인가?"
47,"PAL 소자는 처음으로 상업용으로 판매된 것이 언제이며, 그 소자의 이름은 무엇인가?","1. PAL 소자 상업용 판매 시작 시기는 언제인가?
2. PAL 소자 이름은 무엇인가?"
341,크펠레족의 언어와 경제 활동은 무엇인가?,"1. 크펠레족의 언어는 어떤가?
2. 크펠레족의 경제 활동은 어떤 것들이 있는가?"
8,"요하네스버그는 세계에서 몇 번째로 큰 메트로 폴리스를 형성하고 있으며, 최근에는 어떤 문제들이 발생하고 있는지 알려주세요.","1. 요하네스버그 세계에서 몇 번째로 큰 메트로 폴리스인가?
2. 요하네스버그 최근 발생한 문제들은 무엇인가?"
189,"바이오스라는 이름은 어디서 유래되었으며, 원래는 어느 회사에 속해 있었나?","1. 바이오스라는 이름은 어디서 유래되었나요?
2. 바이오스는 원래 어느 회사에 속해 있었나요?"
926,"정주영이 졸업한 학교는 어디이며, 최종 학력은 무엇인가?","1. 정주영이 졸업한 학교는 어디인가?
2. 정주영의 최종 학력은 무엇인가?"
276,"리무쟁이 남쪽, 서쪽에 접한 레지옹은 각각 무엇인가?","1. 리무쟁이 남쪽에 접한 레지옹은 무엇인가?
2. 리무쟁이 서쪽에 접한 레지옹은 무엇인가?"
679,캐논 EOS 10D의 발표 날짜와 주요 특징은 무엇인가?,"1. 캐논 EOS 10D 출시일은 언제인가?
2. 캐논 EOS 10D의 주요 특징은 무엇인가?"
200,브리즈번의 인구와 도시권의 인구는 얼마인가?,"1. 브리즈번의 총 인구는 얼마인가?
2. 브리즈번 도시권의 인구는 얼마인가?"
530,김신의 생년월일과 사망일은 언제인가?,"1. 김신의 생년월일은 언제인가?
2. 김신의 사망일은 언제인가?"
681,"캐논 EOS 10D의 발표 날짜, 주요 특징, 후속 모델은 무엇인가?","1. 캐논 EOS 10D 발표 날짜은 언제인가?
2. 캐논 EOS 10D 주요 특징 및 스펙은 무엇인가?
3. 캐논 EOS 10D 후속 모델은 무엇인가?"
139,"매슈 에이브럼 그레이닝은 어떤 작품들을 제작했으며, 어떤 상을 수상했는가?","1. 매슈 에이브럼 그레이닝은 어떤 작품들을 만들었나?
2. 매슈 에이브럼 그레이닝이 수상한 상들은 무엇인가?"
1220,"노보로시스크라는 이름은 어디에서 유래되었으며, 도시가 어떤 역사를 가지고 있는지 설명해 주세요.","1. 노보로시스크라는 이름은 어디에서 유래되었는가?
2. 노보로시스크라는 어떤 역사를 가지고 있는가?"
925,정주영의 출생지와 그의 아호는 무엇인가?,"1. 정주영 출생지는 어디인가?
2. 정주영의 아호는 무엇인가?"
890,"평택 미군기지 이전 문제가 발생한 시기는 언제이며, 그 원인은 무엇인가?","1. 평택 미군기지 이전 문제 발생 시기는 언제인가?
2. 평택 미군기지 이전 원인은 무엇인가?"
278,"심의 성격은 몇 가지 특성으로 구성되어 있으며, 플레이어가 취향에 맞게 분배할 수 있나요?","1. 심의 성격은 몇 가지 특성으로 구성되어 있나요?
2. 심의 성격을 플레이어가 취향에 맞게 분배할 수 있나요?"
194,"투바어는 어떤 언어족에 속하고, 그 공용어로 사용되는 곳은 어디인가?","1. 투바어는 어떤 언어족인가?
2. 투바어를 공용어로 사용하는 곳은 어디인가?"
870,에탄올이 자연적으로 생산되거나 석유화학 공정을 통해 생산되는 방법은 무엇인가?,"1. 에탄올이 자연적으로 생산되는 방법은 무엇인가?
2. 에탄올이 석유화학 공정을 통해 생산되는 방법은 무엇인가?"
556,"M34의 겉보기 등급, 시직경, 반경은 얼마인가?","1. M34의 겉보기 등급은 어떻게 측정되는가?
2. M34의 시직경과 반경은 어떤 의미를 갖는가?"
489,"스피어 유니온이라는 조직이 학교에 잠입시키는 목적은 무엇이며, 그들을 어떻게 숨기려 했을까요?","1. 스피어 유니온이라는 조직이 학교에 잠입시키는 목적은 무엇인가?
2. 스피어 유니온이라는 조직은 그들을 어떻게 숨기려 했을까요?"
511,"슈베르트의 피아노 5중주곡 '송어'는 어떤 조성이며, 작품번호는 무엇인가?","1. 슈베르트의 피아노 5중주곡 '송어'는 어떤 조성인가요?
2. 슈베르트의 피아노 5중주곡 '송어'의 작품번호는 무엇인가?"
474,"하쿠산시의 이름은 어디서 유래했으며, 주요 하천은 무엇인가?","1. 하쿠산시의 이름은 어디서 유래했나요?
2. 하쿠산시의 주요 하천은 무엇인가?"
1031,"마운트 홀리오크 칼리지 캠퍼스를 설계한 도시 조경가는 누구이며, 그들이 설계한 곳은 어디인가?","1. 마운트 홀리오크 칼리지 캠퍼스를 설계한 도시 조경가의 이름은 무엇인가?
2. 마운트 홀리오크 칼리지 캠퍼스를 설계한 조경가가 설계한 다른 장소는 어디인가?"
216,"포키 걸즈와 비너스 무스가 출연한 CF는 언제 방송되었으며, 그 중에서 어떤 곡이 수록되었는가?","1. 포키 걸즈와 비너스 무스가 출연한 CF는 언제 방송되었는가?
2. 포키 걸즈와 비너스 무스 CF에 어떤 곡이 수록되었는가?"
945,"혼인보센 대회는 어떻게 진행되며, 규모가 어떻게 변했나요?","1. 혼인보센 대회 진행 방식은 무엇인가?
2. 혼인보센 대회의 규모 변화는 어떻게 되었나요?"
491,"역사서 쇼쿠니혼기(속일본기)에 따르면 간무 천황의 어머니는 누구이며, 어떤 혈통과 관련이 있는가?","1. 역사서 쇼쿠니혼기(속일본기)에 따르면 간무 천황의 어머니는 누구인가?
2. 역사서 쇼쿠니혼기(속일본기)에 따르면 간무 천황은 어떤 혈통과 관련이 있는가?"
96,"테베는 페르시아 제국의 침공 때 그리스 편이 아니라 페르시아의 편에서 아테네와 대항했으며, 이후 펠로폰네소스 전쟁에서는 스파르타와 동맹을 맺고 아테네와 대립했다. 그러나 전쟁 말기 동맹이 깨지고 스파르타의 침공을 받았다. 그 후 테베는 마케도니아의 필리포스 2세에게 굴복할 수밖에 없었다. 이에 대한 자세한 내용은 무엇인가?","1. 테베와 페르시아 제국의 침공 때 아테네와 대항한 이유는 무엇이었나?
2. 테베가 마케도니아의 필리포스 2세에게 굴복한 이유는 무엇이었나?"
1197,"2018년 입학생부터 적용된 교육과정의 특징은 무엇이며, 이때부터 어떤 교과가 도입되었습니다?","1. 2018년 입학생부터 적용된 교육과정의 특징은 무엇인가?
2. 2018년부터 도입된 교과목은 무엇인가요?"
871,에탄올의 의료용과 화학 용매로 사용되는 예는 무엇인가?,"1. 에탄올 의료용 용도로 사용되는 예는 무엇인가?
2. 에탄올 화학 용매로 사용되는 예는 무엇인가?"
170,"걸프 전쟁의 전투는 언제 시작되었으며, 전투는 얼마동안 지속되었는가?","1. 걸프 전쟁의 전투 시작일은 언제였는가?
2. 걸프 전쟁의 전투는 얼마동안 지속되었나?"
203,코난의 출생 배경과 그의 전사로서의 능력에 대해 설명해 주세요.,"1. 코난의 출생 배경은 무엇인가요?
2. 코난은 전사로서 어떤 능력을 가지고 있으며, 그 능력은 어떻게 발휘되나요?"
298,"디젤 엔진의 발명자는 누구이며, 언제 발명했는가?","1. 디젤 엔진의 발명자는 누구인가요?
2. 디젤 엔진은 언제 발명되었는가?"
1162,"김달수는 어느 지역에서 태어났으며, 그곳의 이름은 현재 어떻게 불리는가?","1. 김달수 출생지는 어디인가요?
2. 김달수 출생지의 현재 지명은 무엇인가요?"
403,안드레 프레빈이 작곡한 음악 장르와 주요 활동은 무엇인가?,"1. 안드레 프레빈이 작곡한 음악 장르는 무엇인가?
2. 안드레 프레빈이 주요 활동은 무엇인가?"
158,"보이저 금제 음반은 어떤 목적으로 제작되었으며, 그 내용은 무엇인가?","1. 보이저 금제 음반은 어떤 목적으로 제작되었나?
2. 보이저 금제 음반의 내용은 무엇인가?"
766,"카슨시티는 어떤 지역과 접하고 있으며, 부근에 무슨 일이 일어났나?","1. 카슨시티와 인접한 지역은 어디인가?
2. 카슨시티 부근에서 어떤 사건이 발생했는가?"
688,아랍 문학의 정의와 역사적 배경은 무엇인가?,"1. 아랍 문학의 정의는 무엇인가?
2. 아랍 문학의 역사적 배경은 어떻게 형성되었는가?"
145,"맨홀은 어떤 목적으로 사용되며, 일반적으로 어디에 위치하나요?","1. 맨홀은 어떤 목적으로 사용하나요?
2. 맨홀은 일반적으로 어디에 위치하나요?"
344,"먼로 독트린이란 무엇이며, 이 독트린에서 주요 내용은 무엇인가?","1. 먼로 독트린이란 무엇인가?
2. 먼로 독트린의 주요 내용은 무엇인가?"
